"Trending Date",Country,"Category ID","Comment Count",Title,Likes,"Channel ID",Dislikes,"Publish Date","Video ID",Views
2018-04-03,Denmark,24,5553,"Wie ABK seine Fans belÃ¼gt - Kuchen Talks #284",13566,8723,3857,2018-04-02,zsNUE5lLuOc,175747
2018-04-04,Denmark,24,11899,"Wie ABK seine Fans belÃ¼gt - Kuchen Talks #284",21646,8723,9885,2018-04-02,zsNUE5lLuOc,349738
2018-04-05,Denmark,24,14248,"Wie ABK seine Fans belÃ¼gt - Kuchen Talks #284",23820,8723,11987,2018-04-02,zsNUE5lLuOc,415590
2018-04-06,Denmark,24,15048,"Wie ABK seine Fans belÃ¼gt - Kuchen Talks #284",24442,8723,12530,2018-04-02,zsNUE5lLuOc,436121
2018-04-22,Denmark,24,64,"Labes S07 Episode 33 21-04-2018 Partie 02",446,5347,45,2018-04-21,zSCCVLkoLDo,49363
2018-04-23,Denmark,24,133,"Labes S07 Episode 33 21-04-2018 Partie 02",978,5347,92,2018-04-21,zSCCVLkoLDo,137263
2018-05-25,India,10,223,"Gamda Ni Chokri - Dhaval Domadiya",3339,13714,288,2018-05-24,zrUl5WgyquY,163627
2018-05-26,India,10,276,"Gamda Ni Chokri - Dhaval Domadiya",4657,13714,479,2018-05-24,zrUl5WgyquY,326320
2018-05-27,India,10,304,"Gamda Ni Chokri - Dhaval Domadiya",5093,13714,540,2018-05-24,zrUl5WgyquY,390340
2018-04-17,Canada,24,2010,"Macaulay Culkin",8048,11979,555,2018-04-16,zrHecEkbcDs,82311
2018-04-07,Canada,24,13079,"The Confession --  MatPat's VidCon 2018 Speech",89367,14165,800,2018-04-06,ZR47jsUqUzo,698616
2018-04-14,US,24,19446,"The Confession --  MatPat's VidCon 2018 Speech",140863,14165,2007,2018-04-06,ZR47jsUqUzo,1427300
2018-04-15,US,24,19521,"The Confession --  MatPat's VidCon 2018 Speech",141423,14165,2013,2018-04-06,ZR47jsUqUzo,1437432
2018-04-16,US,24,19545,"The Confession --  MatPat's VidCon 2018 Speech",141950,14165,2019,2018-04-06,ZR47jsUqUzo,1446173
2018-04-17,US,24,19562,"The Confession --  MatPat's VidCon 2018 Speech",142301,14165,2020,2018-04-06,ZR47jsUqUzo,1452311
2018-04-24,US,24,2936,"CRAZY RICH ASIANS - Official Trailer 1",18085,15304,1477,2018-04-23,ZQ-YX-5bAs0,1061349
2018-04-25,US,24,5619,"CRAZY RICH ASIANS - Official Trailer 1",36511,15304,2974,2018-04-23,ZQ-YX-5bAs0,4183795
2018-04-26,Canada,24,6666,"CRAZY RICH ASIANS - Official Trailer 1",49314,15304,3558,2018-04-23,ZQ-YX-5bAs0,4930163
2018-05-14,US,24,8690,"CRAZY RICH ASIANS - Official Trailer 1",70438,15304,4600,2018-04-23,ZQ-YX-5bAs0,6461082
2018-04-27,Canada,24,1863,"Teachers Who Deserve A Fail!",14058,12349,146,2018-04-26,ZqVLeJD8qJI,316257
2018-04-15,India,22,108,"Nandini | 13th Apr 2018 | SunTV",792,13770,99,2018-04-14,ZpyXA_-nK0I,167403
2018-04-16,India,22,125,"Nandini | 13th Apr 2018 | SunTV",1105,13770,178,2018-04-14,ZpyXA_-nK0I,298700
2018-04-30,Canada,24,151,"'Avengers' cast decide which costume is the worst",2854,15042,23,2018-04-26,ZpQ4Xl_v2LY,145759
2018-05-01,Canada,24,230,"'Avengers' cast decide which costume is the worst",4633,15042,38,2018-04-26,ZpQ4Xl_v2LY,246461
2018-05-14,Canada,28,3176,"Building a 4K Workstation with Dennis!",22515,9370,616,2018-05-13,z-PnNfgIpgg,452164
2018-05-06,Denmark,24,493,"The Mystery Of The White House's Missing Tree",8152,14181,215,2018-05-05,ZOyY4394fjo,628200
2018-04-23,Denmark,22,4,"Sturm der Liebe Vorschau fÃ¼r Folge 2924 - 2927",94,13723,6,2018-04-22,zOrhGrrY6Ps,10808
2018-04-24,Denmark,22,13,"Sturm der Liebe Vorschau fÃ¼r Folge 2924 - 2927",152,13723,13,2018-04-22,zOrhGrrY6Ps,32146
2018-05-15,Denmark,24,16,"Ceca Raznatovic..NAZALOST UMRLA JE",61,14637,105,2018-05-13,zoPh4FowdAc,43920
2018-05-10,Denmark,24,576,"Die 5 GRÃ–SSTEN Gronkh-Momente! | TOP 5",6529,15464,130,2018-05-09,z-OfSrA7-QY,75915
2018-05-11,Denmark,24,911,"Die 5 GRÃ–SSTEN Gronkh-Momente! | TOP 5",10407,15464,370,2018-05-09,z-OfSrA7-QY,164719
2018-05-12,Denmark,24,963,"Die 5 GRÃ–SSTEN Gronkh-Momente! | TOP 5",11519,15464,445,2018-05-09,z-OfSrA7-QY,192027
2018-04-06,US,1,1576,"The Moment I Threw Your Toothbrush Away",26441,2171,297,2018-04-05,Zo9rgbn0SMs,170279
2018-04-07,US,1,2330,"The Moment I Threw Your Toothbrush Away",40795,2171,756,2018-04-05,Zo9rgbn0SMs,351090
2018-04-14,US,1,3264,"The Moment I Threw Your Toothbrush Away",59430,2171,1213,2018-04-05,Zo9rgbn0SMs,579979
2018-04-15,US,1,3264,"The Moment I Threw Your Toothbrush Away",60037,2171,1224,2018-04-05,Zo9rgbn0SMs,587619
2018-04-16,US,1,3286,"The Moment I Threw Your Toothbrush Away",60864,2171,1231,2018-04-05,Zo9rgbn0SMs,595827
2018-04-17,US,1,3259,"The Moment I Threw Your Toothbrush Away",61576,2171,1237,2018-04-05,Zo9rgbn0SMs,603548
2018-04-18,US,1,3261,"The Moment I Threw Your Toothbrush Away",61697,2171,1241,2018-04-05,Zo9rgbn0SMs,610001
2018-04-19,US,1,3257,"The Moment I Threw Your Toothbrush Away",62202,2171,1244,2018-04-05,Zo9rgbn0SMs,616212
2018-04-20,US,1,3331,"The Moment I Threw Your Toothbrush Away",62795,2171,1248,2018-04-05,Zo9rgbn0SMs,622813
2018-04-21,US,1,3329,"The Moment I Threw Your Toothbrush Away",63185,2171,1253,2018-04-05,Zo9rgbn0SMs,627497
2018-04-22,US,1,3298,"The Moment I Threw Your Toothbrush Away",63487,2171,1253,2018-04-05,Zo9rgbn0SMs,631554
2018-05-13,Denmark,20,1038,"BIBI ist SCHWANGER!!! WÃ¤re ich ein GUTER VATER?!",17554,12483,783,2018-05-12,znz5h9-s764,262983
2018-05-08,US,17,168,"Top 5 Plays of the Night | May 06, 2018",3353,10995,76,2018-05-07,ZnvGy6pcGxs,232812
